,numDots,subdomainLevel,pathLevel,urlLength,numDash,numDashHostname,atSymbol,tildeSymbol,numUnderscore,numPercent,numQueryComponents,numApersand,numHash,numNumericChars,noHttps,ipAddress,domainInSubdomains,domainInPaths,httpsInHostname,hostNameLength,pathLength,queryLength,doubleSlash,type
0,2.0,2.0,1.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,16.0,16.0,0.0,0.0,1.0
1,2.0,1.0,3.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,11.0,35.0,0.0,0.0,0.0
2,2.0,1.0,4.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,14.0,31.0,0.0,0.0,0.0
3,3.0,2.0,2.0,88.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,3.0,0.0,7.0,1.0,0.0,0.0,0.0,,21.0,10.0,49.0,1.0,1.0
4,2.0,1.0,2.0,235.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,22.0,1.0,0.0,0.0,0.0,,23.0,10.0,194.0,1.0,1.0
5,2.0,1.0,4.0,118.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,11.0,100.0,0.0,1.0,0.0
6,2.0,2.0,7.0,45.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,,11.0,45.0,0.0,0.0,0.0
7,1.0,1.0,2.0,46.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,18.0,19.0,26.0,0.0,0.0
8,2.0,2.0,2.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,22.0,15.0,0.0,1.0,1.0
9,1.0,1.0,3.0,45.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,,12.0,45.0,0.0,0.0,0.0
10,2.0,1.0,4.0,62.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,,19.0,62.0,0.0,0.0,0.0
11,3.0,2.0,4.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,,20.0,37.0,0.0,1.0,1.0
12,1.0,1.0,4.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,,11.0,30.0,0.0,0.0,0.0
13,4.0,2.0,3.0,61.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,32.0,22.0,0.0,1.0,1.0
14,3.0,2.0,2.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,False,21.0,14.0,8.0,1.0,1.0
15,1.0,1.0,3.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,21.0,20.0,0.0,1.0,1.0
16,3.0,2.0,4.0,44.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,None,0.0,0.0,,21.0,44.0,0.0,0.0,0.0
17,2.0,1.0,2.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,7.0,1.0,False,0.0,0.0,,9.0,29.0,22.0,0.0,0.0
18,2.0,2.0,6.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,False,0.0,0.0,,15.0,46.0,0.0,0.0,0.0
19,3.0,2.0,2.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,,11.0,16.0,0.0,1.0,1.0
20,2.0,1.0,4.0,48.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,False,0.0,0.0,,22.0,48.0,0.0,0.0,0.0
21,6.0,6.0,1.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,,42.0,42.0,0.0,0.0,1.0
22,1.0,1.0,6.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,False,0.0,0.0,,7.0,35.0,0.0,0.0,0.0
23,2.0,1.0,6.0,83.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,False,0.0,0.0,,11.0,83.0,0.0,0.0,0.0
24,1.0,1.0,4.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,False,0.0,0.0,,16.0,33.0,0.0,0.0,0.0
25,2.0,1.0,2.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,False,0.0,0.0,,13.0,24.0,8.0,0.0,0.0
26,1.0,1.0,4.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,,14.0,30.0,0.0,0.0,0.0
